run_id,protocol_lock_id,project_id,bug_id,bug_key,experiment_group,best_attempt,attempts_used,input_tokens,output_tokens,estimated_cost,runtime_seconds,patch_apply,compile,trigger_test,full_test,plausible,target_warning_removed,public_api_unchanged,hard_scope_pass,blocking_obligations_total,blocking_obligations_pass,advisory_obligations_total,advisory_obligations_pass,obligation_satisfaction_rate,claimed_mapping_valid,realized_mapping_success,mapping_consistent,mapping_exact,mapping_precision,mapping_coverage,would_accept_test_only,would_accept_generic,would_accept_hybrid,final_correctness,best_patch_path,best_evidence_path,status,failure_reason,generation_final_correctness,selected_attempt_id,patch_hash,unique_patch_id,audit_plausible,correctness_type,correctness_reason,correctness_basis,root_cause_related,semantic_equivalent,overfitting_risk,audit_status,reviewer,second_review_required,second_reviewer,second_review_reason,evidence_stratum,defect_category
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Chart,24,Chart-24,A,1,1,2016,209,0.00105879,324.237,true,true,true,true,true,true,true,true,7,7,1,1,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Chart-24_A_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Chart-24_A_attempt1.json,completed,,pending_human,1,e313f8ab61381d062eb3f0ada4387e5bd00f7ce7fd3a65eb3586fd2c74fbcf2b,UP-22,true,developer_equivalent,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,CONTROL_LOGIC
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Chart,24,Chart-24,R,1,1,2134,212,0.00111273,324.683,true,true,true,true,true,true,true,true,7,7,1,1,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Chart-24_R_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Chart-24_R_attempt1.json,completed,,pending_human,1,18737983f58cdf98c943c71499bdcb9c47d8d27e4d7e9e0741712bb8caf6ee76,UP-05,true,developer_equivalent,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,CONTROL_LOGIC
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Chart,24,Chart-24,C,1,1,3048,327,0.0016103699999999999,326.098,true,true,true,true,true,true,true,true,7,7,1,1,1.0,true,true,true,false,1.0,1.0,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Chart-24_C_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Chart-24_C_attempt1.json,completed,,pending_human,1,e313f8ab61381d062eb3f0ada4387e5bd00f7ce7fd3a65eb3586fd2c74fbcf2b,UP-22,true,developer_equivalent,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,CONTROL_LOGIC
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Codec,1,Codec-1,A,1,1,8535,430,0.004086825,43.074,true,true,true,true,true,true,true,true,7,7,3,3,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Codec-1_A_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Codec-1_A_attempt1.json,completed,,pending_human,1,fa14c55e53a54c25574eaf17b042174b91f9d9360502a8b9c11f341fbfd30cbd,UP-24,true,developer_equivalent,The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,API_USAGE
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Codec,1,Codec-1,R,2,2,17809,1049,0.008659545,68.251,true,true,true,true,true,true,true,true,7,7,3,3,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Codec-1_R_attempt2.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Codec-1_R_attempt2.json,completed,,pending_human,2,036691bbd160ac66521d71eefb154e61be3ce64e132247646f5ebdf12203843d,UP-01,true,developer_equivalent,The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,API_USAGE
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Codec,1,Codec-1,C,2,2,20563,1393,0.010156815000000001,70.213,true,true,true,true,true,true,true,true,7,7,3,3,1.0,true,true,true,false,1.0,1.0,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Codec-1_C_attempt2.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Codec-1_C_attempt2.json,completed,,pending_human,2,fa14c55e53a54c25574eaf17b042174b91f9d9360502a8b9c11f341fbfd30cbd,UP-24,true,developer_equivalent,The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,API_USAGE
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Collections,1,Collections-1,A,1,3,30582,621,0.013843440000000002,145.389,false,false,false,false,false,false,true,true,7,3,1,0,0.375,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,false,false,false,incorrect,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Collections-1_A_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Collections-1_A_attempt1.json,completed,,pending_human,1,f740a51fa6dc0dd8189c0be505a0a78cec4de1d941a414747895ba9a30211cc7,not_applicable,false,mechanical_failure,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,mechanical_failure,not_reviewed,no,not_applicable,complete,mechanical oracle,false,,,direct,CONTROL_LOGIC
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Collections,1,Collections-1,R,1,1,10248,284,0.00470496,178.881,true,true,true,true,true,true,true,true,7,7,1,1,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Collections-1_R_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Collections-1_R_attempt1.json,completed,,pending_human,1,854ed1591e33468cb47a43576d44afba61ade3efcc836f5c778deed2db56618a,UP-13,true,developer_equivalent,The generated patch is the complete developer repair and ensures that updating one Flat3Map entry changes only the selected slot.,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,CONTROL_LOGIC
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Collections,1,Collections-1,C,1,1,11171,397,0.005204775,178.94,true,true,true,true,true,true,true,true,7,7,1,1,1.0,true,true,true,false,1.0,1.0,true,true,true,correct,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Collections-1_C_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Collections-1_C_attempt1.json,completed,,pending_human,1,854ed1591e33468cb47a43576d44afba61ade3efcc836f5c778deed2db56618a,UP-13,true,developer_equivalent,The generated patch is the complete developer repair and ensures that updating one Flat3Map entry changes only the selected slot.,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs,yes,yes,no,complete,Codex developer-patch-grounded forensic audit,false,,,direct,CONTROL_LOGIC
stage2_mve_formal_20260825T210517,stage2-v2.1.1-7a7d2bd44d0bc085,Collections,14,Collections-14,A,1,3,5851,474,0.002957565,538.0,true,true,false,false,false,true,true,true,7,5,1,1,0.75,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,false,false,false,incorrect,outputs_revised_mve/stage2_mve_formal_20260825T210517/patches/Collections-14_A_attempt1.diff,outputs_revised_mve/stage2_mve_formal_20260825T210517/evidence_reports/Collections-14_A_attempt1.json,completed,,pending_human,1,f507bbaa706ae79cf2f671136bd9068f14c799fb805b5a6eb77aa9985b97defd,not_applicable,false,mechanical_failure,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,mechanical_failure,not_reviewed,no,not_applicable,complete,mechanical oracle,false,,,direct,API_USAGE
